name,link,type,subway,station,thumbnail,time
Hoam Faculty House (Main venue hotel),http://www.hoam.ac.kr/eng/,Hotel,2,"낙성대(Nakseongdae, 落星垈)",http://www.hoam.ac.kr/data/designImages/BANNER_1455602711.jpg,~ 5 min.
Shilla Stay Yeoksam,https://kr.hotels.com/hotel/details.html?q-check-out=2017-04-21&q-check-in=2017-04-18&WOE=5&WOD=2&q-room-0-children=0&pa=1&tab=description&hotel-id=466110&q-room-0-adults=1&YGF=14&MGT=3&ZSX=0&SYE=3,Hotel,"2, Bundang","역삼(Yeoksam, 驛三), 선릉(Seolleung, 宣陵)",https://exp.cdn-hotels.com/hotels/9000000/8410000/8402000/8401938/8401938_35_z.jpg,45 ~ 60 min.
Hotel & Residence Nmore,https://kr.hotels.com/ho452656/hotel-aenlejideonseu-enmo-seoul-hangug/?gclid=CjwKEAiA2abEBRCdx7PqqunM1CYSJABf3qvaRovtrpQ17jIN-wkiyvapzT1ZM7zw5b2Ecml3ruX_3hoCqGDw_wcB&rffrid=sem.hcom.E4.google.003.00.04.s.kwrd%3DZzZz.skUPtnB8S.0.146150023197.1020w9o38457.d.c&semid=16014571119.198258879.1t2._inurl%3Awww.hotels.com.1009871..aud-125833227203%3Adsa-87391128309,Hotel,"2, 3","교대(Seoul Nat'l Univ. of Education, 敎大)",https://exp.cdn-hotels.com/hotels/8000000/7770000/7769000/7768957/f41e2ea3_z.jpg,35 ~ 40 min.
Provista Hotel,https://kr.hotels.com/hotel/details.html?q-check-out=2017-04-21&tab=description&hotel-id=242276&q-room-0-adults=1&YGF=14&q-check-in=2017-04-18&MGT=3&WOE=5&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Hotel,"2, 3","교대(Seoul Nat'l Univ. of Education, 敎大)",https://exp.cdn-hotels.com/hotels/2000000/1490000/1489900/1489896/1489896_45_z.jpg,35 ~ 40 min.
Hotel Artnouveau Seocho,https://kr.hotels.com/hotel/details.html?q-check-out=2017-04-21&tab=description&hotel-id=388693&q-room-0-adults=1&YGF=14&q-check-in=2017-04-18&MGT=3&WOE=5&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Hotel,"2, 3","교대(Seoul Nat'l Univ. of Education, 敎大), 강남(Gangnam, 江南)",https://exp.cdn-hotels.com/hotels/5000000/4570000/4563600/4563564/4563564_31_z.jpg,35 ~ 40 min.
Trang BLUE,https://kr.hotels.com/hotel/details.html?q-check-out=2017-04-21&tab=description&hotel-id=643756&q-room-0-adults=1&YGF=14&q-check-in=2017-04-18&MGT=3&WOE=5&WOD=2&ZSX=0&SYE=3&q-room-0-children=0&referrerHotelId=448678,Hotel,2,"신림(Sillim, 新林)",https://exp.cdn-hotels.com/hotels/17000000/16530000/16527500/16527451/08642a72_z.jpg,30 ~ 35 min.
Dream Inn Seoul Guesthouse,https://kr.hotels.com/hotel/details.html?q-check-out=2017-04-21&tab=description&hotel-id=629140&q-room-0-adults=1&YGF=14&q-check-in=2017-04-18&MGT=3&WOE=5&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Guest house,2,"신림(Sillim, 新林)",https://exp.cdn-hotels.com/hotels/17000000/16250000/16243400/16243306/6da7706e_z.jpg,30 ~ 35 min.
Kimchee Gangnam Guesthouse,https://kr.hotels.com/hotel/details.html?q-check-out=2017-04-21&tab=description&hotel-id=442189&q-room-0-adults=1&YGF=14&q-check-in=2017-04-18&MGT=3&WOE=5&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Guest house,"7, Bundang","강남구청(Gangnam-gu Office, 江南區廳)",https://exp.cdn-hotels.com/hotels/7000000/6620000/6612900/6612809/6612809_40_z.jpg,50 ~ 60 min.
